,Unnamed: 0,Statement,Verbs/Skills,Grade,Subject
3,3,"(4) Critical evaluation and response. The student responds to and analyzes artworks of self and others, contributing to the development of the lifelong skills of making informed judgments and reasoned evaluations. The student is expected to: (A) create written or oral responses about personal or collaborative artworks addressing purpose, technique, organization, judgment, and personal expression; (B) analyze original artworks using a method of critique such as describing the artwork, analyzing the way it is organized, interpreting the artist's intention, and evaluating the success of the artwork; (C) develop a portfolio that demonstrates progress; (D) investigate and explore original artworks in a variety of venues outside of the classroom such as museums, galleries, or community art; and (E) demonstrate an understanding of and apply proper exhibition etiquette.",respond; analyze; contribute; make; expect; create; write; address; analyze; use; describe; analyze; organize; interpret; evaluate; develop; demonstrate; investigate; explore; demonstrate; apply,Grade 7,ART
0,0,"(1) Foundations: observation and perception. The student develops and expands visual literacy skills using critical thinking, imagination, and the senses to observe and explore the world by learning about, understanding, and applying  the elements of art, principles of design, and expressive qualities. The student uses what the student sees, knows, and has experienced as sources for examining, understanding, and creating original artworks. The student is expected to: (A) identify and illustrate concepts from direct observation, original sources, imagination, personal experience, and communities such as family, school, cultural, local, regional, national, and international; (B) evaluate the elements of art, including line, shape, color, texture, form, space, and value, as the fundamentals of art in personal artworks using vocabulary accurately; (C) evaluate the principles of design, including emphasis, repetition/pattern,  movement/rhythm, contrast/variety, balance, proportion, and unity, in personal artworks using vocabulary accurately; and (D) compare and contrast the expressive properties of artworks, including appropriation, meaning, narrative, message, and symbol, using vocabulary accurately.",develop; expand; use; observe; explore; learn; apply; use; see; know; experience; examine; create; expect; identify; illustrate; evaluate; include; use; evaluate; include; use; compare; contrast; include; use,Grade 8,ART
1,1,"(2) Creative expression. The student communicates ideas through original artworks using a variety of media with appropriate skills. The student expresses thoughts and ideas creatively while challenging the imagination, fostering reflective thinking, and developing disciplined effort and progressive problem-solving skills. The student is expected to: (A) create original artworks expressing themes found through direct observation; original  sources; personal experiences, including memory, identity, and imagination; and the community; (B) apply the art-making process to solve problems and generate design solutions; (C) create artworks by selecting appropriate art materials, including drawings, paintings, prints, sculptures/modeled forms, ceramics, fiber art, photographic imagery, and digital art and media; (D) use an understanding of copyright and public domain to appropriate imagery when working from sources rather than direct observation or imagination; and (E) create experimental artworks using installation, performance, or collaboration.",communicate; use; express; challenge; foster; develop; solve; expect; create; express; find; include; apply; make; solve; generate; create; select; include; model; use; work; create; use,Grade 8,ART
2,2,"(3) Historical and cultural  relevance. The student demonstrates an understanding of art history and culture by analyzing artistic styles, historical periods, and a variety of cultures. The student develops global awareness and respect for the traditions and contributions of diverse cultures. The student is expected to: (A) analyze ways in which global, contemporary, historical, and political issues have influenced art; (B) analyze cultural ideas expressed in artworks relating to social, political, and environmental themes such as environment/nature, conflict and power, relationships to others, and reality/fantasy; (C) evaluate the relationships that exist among a society's art, music, theatre, and dance; and (D) compare and contrast career and avocational opportunities in art such as various design, museum, and fine arts fields.",demonstrate; analyze; develop; expect; influence; analyze; express; relate; evaluate; exist; compare,Grade 8,ART
3,3,"(4) Critical evaluation and response. The student responds to and analyzes artworks of self and others, contributing to the development of the lifelong skills of making informed judgments and reasoned evaluations. The student is expected to: (A) create written and oral responses about personal or collaborative artworks addressing purpose, technique, organization, judgment, and personal expression; (B) analyze original artworks and portfolios using a method of critique such as describing the artwork, analyzing the way it is organized, interpreting the artist's intention, and  evaluating the success of the artwork; (C) investigate and explore original artworks in a variety of venues outside of the classroom such as museums, galleries, or community art; and (D) understand and demonstrate proper exhibition etiquette.",respond; analyze; contribute; make; expect; create; write; address; analyze; use; describe; analyze; organize; interpret; evaluate; investigate; explore; understand; demonstrate,Grade 8,ART
0,0,"(1) Character education introduces students to character traits and personal skills that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits and personal skills reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.",introduce; empower; care; reflect; provide; permit; apply; make; solve; behave,Grade 4,CHARACTER TRAITS
1,1,"(2) The standards for positive character traits and personal skills are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits and personal skills. (A) Trustworthiness: honesty, integrity, loyalty, punctuality, and reliability. (B) Responsibility: accountability, diligence, perseverance, self-control, and self-management. (C) Caring: interpersonal skills, including charity, compassion, consideration, cooperation, empathy, generosity, kindness, and patience. (D) Good citizenship: having concern for the common good and the community; having respect for authority, law, justice, and the rights of others; being free from prejudice; having gratitude and school pride; being courteous, fair, and patriotic; and making responsible decisions.",comprise; consist; follow; include; have; have; have; make,Grade 4,CHARACTER TRAITS
2,2,"(3) Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, differences, diversity, biases, and the social and cultural context in which they live.",expect; develop; recognize; live,Grade 4,CHARACTER TRAITS
3,3,"(4) The knowledge and skills for positive character traits and personal skills are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.",organize; teach; discuss; view,Grade 4,CHARACTER TRAITS
4,4,"(5) Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 4,CHARACTER TRAITS
0,0,"(1) Character education introduces students to character traits and personal skills that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits and personal skills reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.",introduce; empower; care; reflect; provide; permit; apply; make; solve; behave,Grade 5,CHARACTER TRAITS
1,1,"(2) The standards for positive character traits and personal skills are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits and personal skills. (A) Trustworthiness: honesty, integrity, loyalty, punctuality, and reliability. (B) Responsibility: accountability, diligence, perseverance, self-control, and self-management. (C) Caring: interpersonal skills, including charity, compassion, consideration, cooperation, empathy, generosity, kindness, and patience. (D) Good citizenship: having concern for the common good and the community; having respect for authority, law, justice, and the rights of others; being free from prejudice; having gratitude and school pride; being courteous, fair, and patriotic; and making responsible decisions.",comprise; consist; follow; include; have; have; have; make,Grade 5,CHARACTER TRAITS
2,2,"(3) Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, differences, diversity, biases, and the social and cultural context in which they live.",expect; develop; recognize; live,Grade 5,CHARACTER TRAITS
3,3,"(4) The knowledge and skills for positive character traits and personal skills are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.",organize; teach; discuss; view,Grade 5,CHARACTER TRAITS
4,4,"(5) Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 5,CHARACTER TRAITS
0,0,"(1) Character education introduces students to character traits and personal skills that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits and personal skills reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.",introduce; empower; care; reflect; provide; permit; apply; make; solve; behave,Grade 6,CHARACTER TRAITS
1,1,"(2) The standards for positive character traits and personal skills are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits and personal skills. (A) Trustworthiness: honesty, integrity, loyalty, punctuality, and reliability. (B) Responsibility: accountability, diligence, perseverance, self-control, and self-management. (C) Caring: interpersonal skills, including charity, compassion, consideration, cooperation, empathy, generosity, kindness, and patience. (D) Good citizenship: having concern for the common good and the community; having respect for authority, law, justice, and the rights of others; being free from prejudice; having gratitude and school pride; being courteous, fair, and patriotic; and making responsible decisions.",comprise; consist; follow; include; have; have; have; make,Grade 6,CHARACTER TRAITS
2,2,"(3) Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, differences, diversity, biases, and the social and cultural context in which they live.",expect; develop; recognize; live,Grade 6,CHARACTER TRAITS
3,3,"(4) The knowledge and skills for positive character traits and personal skills are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.",organize; teach; discuss; view,Grade 6,CHARACTER TRAITS
4,4,"(5) Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 6,CHARACTER TRAITS
0,0,"(1) Character education introduces students to character traits and personal skills that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits and personal skills reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.",introduce; empower; care; reflect; provide; permit; apply; make; solve; behave,Grade 7,CHARACTER TRAITS
1,1,"(2) The standards for positive character traits and personal skills are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits and personal skills. (A) Trustworthiness: honesty, integrity, loyalty, punctuality, and reliability. (B) Responsibility: accountability, diligence, perseverance, self-control, and self-management. (C) Caring: interpersonal skills, including charity, compassion, consideration, cooperation, empathy, generosity, kindness, and patience. (D) Good citizenship: having concern for the common good and the community; having respect for authority, law, justice, and the rights of others; being free from prejudice; having gratitude and school pride; being courteous, fair, and patriotic; and making responsible decisions.",comprise; consist; follow; include; have; have; have; make,Grade 7,CHARACTER TRAITS
2,2,"(3) Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, differences, diversity, biases, and the social and cultural context in which they live.",expect; develop; recognize; live,Grade 7,CHARACTER TRAITS
3,3,"(4) The knowledge and skills for positive character traits and personal skills are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.",organize; teach; discuss; view,Grade 7,CHARACTER TRAITS
4,4,"(5) Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 7,CHARACTER TRAITS
0,0,"(1) Character education introduces students to character traits and personal skills that empower them to be good citizens who are trustworthy, responsible, and caring. The character traits and personal skills reflect positive beliefs, attitudes, and mindsets; provide opportunities for self-reflection; and permit students to apply effective strategies to make decisions, solve problems, and behave responsibly.",introduce; empower; care; reflect; provide; permit; apply; make; solve; behave,Grade 8,CHARACTER TRAITS
1,1,"(2) The standards for positive character traits and personal skills are comprised of four strands: trustworthiness, responsibility, caring, and citizenship. Each strand consists of the following character traits and personal skills. (A) Trustworthiness: honesty, integrity, loyalty, punctuality, and reliability. (B) Responsibility: accountability, diligence, perseverance, self-control, and self-management. (C) Caring: interpersonal skills, including charity, compassion, consideration, cooperation, empathy, generosity, kindness, and patience. (D) Good citizenship: having concern for the common good and the community; having respect for authority, law, justice, and the rights of others; being free from prejudice; having gratitude and school pride; being courteous, fair, and patriotic; and making responsible decisions.",comprise; consist; follow; include; have; have; have; make,Grade 8,CHARACTER TRAITS
2,2,"(3) Students are expected to develop an awareness of self-identity as well as recognize multiple perspectives, differences, diversity, biases, and the social and cultural context in which they live.",expect; develop; recognize; live,Grade 8,CHARACTER TRAITS
3,3,"(4) The knowledge and skills for positive character traits and personal skills are organized in the following grade bands: Kindergarten-Grade 2, Grades 3-5, Grades 6-8, and Grades 9-12. However, due to the complexity of the concepts, student expectations and knowledge and skills statements cannot be taught, discussed, or viewed in isolation.",organize; teach; discuss; view,Grade 8,CHARACTER TRAITS
4,4,"(5) Statements that contain the word ""including"" reference content that must be mastered, while those containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 8,CHARACTER TRAITS
0,0,"(1) The fine arts incorporate the study of dance, music, theatre, and the visual arts to offer unique experiences and empower students to explore realities, relationships, and ideas. These disciplines engage and motivate all students through active learning, critical thinking, and innovative problem solving. The fine arts develop cognitive functioning and increase student academic achievement, higher-order thinking, communication, and collaboration skills, making the fine arts applicable to college readiness, career opportunities, workplace environments, social skills, and  everyday life. Students develop aesthetic and cultural awareness through exploration, leading to creative expression. Creativity, encouraged through the study of the fine arts, is essential to nurture and develop the whole child.",incorporate; offer; empower; explore; engage; motivate; solve; develop; increase; make; develop; lead; encourage; nurture; develop,Grade 6,DANCE
1,1,"(2) Four basic strands--foundations: perception; creative expression; historical and cultural relevance; and critical evaluation and response--provide broad, unifying structures for organizing the knowledge and skills students are expected to acquire. Dance students develop perceptual thinking and movement abilities in daily life, promoting an understanding of themselves and others. Students develop movement principles and technical skills and explore choreographic and performance qualities. Students develop self-discipline  and healthy bodies that move expressively, efficiently, and safely through space and time with a sensitive kinesthetic awareness. Students recognize dance as a vehicle for understanding historical and cultural relevance, increasing an awareness of their heritage and traditions and those of others, and enabling them to participate in a diverse society. Evaluating and analyzing dance allows students to strengthen decision-making skills, develop critical and creative thinking, and develop artistic creative processes. Students continue to explore technology and its application to dance and movement, enabling them to make informed decisions about dance.",provide; organize; expect; acquire; develop; promote; develop; explore; develop; move; recognize; understand; increase; enable; participate; evaluate; analyze; allow; strengthen; make; develop; develop; continue; explore; dance; enable; make,Grade 6,DANCE
2,2,"(3) Statements that contain the word ""including"" reference content that must be mastered, while those  containing the phrase ""such as"" are intended as possible illustrative examples.",contain; include; master; contain; intend,Grade 6,DANCE
0,0,"(1) Foundations: perception. The student develops an awareness of the body's movement using sensory information while dancing. The student is expected to: (A) demonstrate basic kinesthetic and spatial awareness individually and in groups; (B) identify the concepts of wellness for healthy lifestyles; (C) demonstrate body science applications through dance genres, styles, and vocabulary; and (D) explore and demonstrate dance movement elements through space, energy, and time.",develop; use; dance; expect; demonstrate; identify; demonstrate; explore; demonstrate,Grade 7,DANCE
1,1,"(2) Creative expression: artistic process. The student develops knowledge and skills of dance elements, choreographic processes, and forms in a variety of dance genres and  styles. The student is expected to: (A) identify basic principles of proper body alignment; (B) explore and describe knowledge of dance composition elements, improvisation skills, and choreographic processes; (C) distinguish between movement studies using rhythmical skills and spatial directions; and (D) explore and demonstrate expressions of ideas or emotions individually and in groups.",develop; expect; identify; explore; describe; use; explore; demonstrate,Grade 7,DANCE
2,2,"(3) Creative expression: performance. The student develops knowledge and execution of technical dance skills and a variety of dance genres and styles through performing. The student is expected to: (A) explore and demonstrate various dance genres  and styles such as ballet, jazz, tap, modern dance, musical theatre dance, and world dance forms; (B) perform individually and in groups with the intent to communicate and project to an audience; (C) demonstrate the use of dance elements in practice and performance incorporating technology; and (D) demonstrate an effective warm-up and cool-down using elements of proper conditioning for performing skills.",develop; perform; expect; demonstrate; perform; communicate; project; demonstrate; incorporate; demonstrate; use; perform,Grade 7,DANCE
3,3,"(4) Historical and cultural relevance. The student demonstrates an understanding of cultural, historical, and artistic diversity. The student is expected to: (A) recognize the cultural significance as communicated through dance movement,  identifying historical figures and their contributions to dance history; (B) interpret movement characteristics of historical and cultural dance forms and the contributions of their artists; (C) recognize a dance representative of one's heritage or environment; and (D) evaluate dance in various media and other content areas.",demonstrate; expect; recognize; communicate; identify; dance; interpret; recognize; evaluate,Grade 7,DANCE
4,4,(5) Critical evaluation and response. The student makes informed personal judgments about dance and the meaning and role of dance in society. The student is expected to: (A) demonstrate the quality and effectiveness of dance performances while incorporating appropriate etiquette in the classroom and performances; (B) interpret relationships between dance and other content subjects; (C) demonstrate the content and choreographic structures used by various American choreographers; and (D) interpret and evaluate artistic decisions of personal dance works.,make; expect; demonstrate; incorporate; interpret; demonstrate; use; interpret; evaluate,Grade 7,DANCE
0,0,"(1) Foundations: perception. The student develops an awareness of the body's movement using sensory information while dancing. The student is expected to: (A) demonstrate basic kinesthetic and spatial awareness individually and in groups; (B) distinguish between concepts of wellness for healthy lifestyles; (C) implement body science applications through dance genres, styles, and vocabulary; and (D) develop dance movement elements through space, energy, and time.",develop; use; dance; expect; demonstrate; distinguish; implement; develop,Grade 8,DANCE
1,1,"(2) Creative expression: artistic process. The student develops knowledge and skills of dance elements, choreographic processes, and forms in a variety of dance genres and styles. The  student is expected to: (A) apply basic principles of proper body alignment; (B) demonstrate knowledge of dance composition elements, improvisation skills, and choreographic processes; (C) create movement studies using rhythmical skills and spatial directions; and (D) design and demonstrate expressions of ideas or emotions individually and in groups.",develop; expect; apply; demonstrate; create; use; demonstrate,Grade 8,DANCE
2,2,"(3) Creative expression: performance. The student develops knowledge and execution of technical dance skills and a variety of dance genres and styles through performing. The student is expected to: (A) apply various dance genres and styles such as ballet, jazz, tap, modern dance,  musical theatre dance, and world dance forms; (B) perform individually and in groups with the intent to express emotions, communicate, and project to an audience; (C) evaluate the use of dance elements in practice and performance incorporating technology and elements of dance production; and (D) practice an effective warm-up and cool-down using elements of proper conditioning for performing skills.",develop; perform; expect; apply; perform; express; communicate; project; evaluate; incorporate; practice; use; perform,Grade 8,DANCE
3,3,"(4) Historical and cultural relevance. The student demonstrates an understanding of cultural, historical, and artistic diversity. The student is expected to: (A) compare and contrast the cultural significance as communicated through dance movement,  identifying historical figures and their contributions to dance history; (B) evaluate movement characteristics of historical and cultural dance forms and the contributions of their artists; (C) perform a dance representing one's heritage or environment; and (D) create dances in various media and other content areas.",demonstrate; expect; contrast; communicate; identify; dance; evaluate; perform; represent; create,Grade 8,DANCE
4,4,"(5) Critical evaluation and response. The student makes informed personal judgments about dance and the meaning and role of dance in society. The student is expected to: (A) design and apply criteria for evaluating the quality and effectiveness of dance performances while incorporating appropriate etiquette in the classroom and  performances; (B) create relationships between dance and other content subjects; (C) compare and contrast the content and choreographic structures used by various American choreographers; and (D) interpret, evaluate, and justify artistic decisions of personal dance works.",make; expect; apply; evaluate; incorporate; create; compare; contrast; use; evaluate; justify,Grade 8,DANCE
0,0,"(1) Developing and sustaining foundational language skills: listening, speaking, discussion, and thinking--oral language. The student develops oral language through listening, speaking, and discussion. The student is expected to: (A) listen actively, ask relevant questions to clarify information, and make pertinent comments; (B) follow, restate, and give oral instructions that involve a series of related sequences of action; (C) express an opinion supported by accurate information, employing eye contact, speaking rate, volume, enunciation, and the conventions of language to communicate ideas effectively; and (D) work collaboratively with others to develop a plan of shared responsibilities.",develop; sustain; speak; think; develop; listen; speak; expect; listen; ask; clarify; make; follow; give; involve; express; support; employ; speak; communicate; work; develop; share,Grade 4,ENGLISH LANGUAGE ARTS AND READING
