,Verb/Skill,Frequency,Grade,Subject
65,fall,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
66,distinguish,2,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
67,know,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
68,act,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
69,intend,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
70,influence,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
71,contribute,2,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
72,achieve,2,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
73,examine,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
74,stereotype,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
75,anecdote,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
76,compose,5,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
77,brainstorm,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
78,organize,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
79,reflect,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
80,revise,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
81,improve,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
82,add,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
83,delete,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
84,rearrange,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
85,complete,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
86,verb,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
87,indicate,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
88,subordinate,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
89,form,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
90,publish,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
91,convey,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
92,request,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
93,engage,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
94,clarify,1,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
95,gather,2,Grade 5,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
