,Verb/Skill,Frequency,Grade,Subject
45,monitor,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
46,annotate,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
47,understand,3,Grade 5,ENGLISH LANGUAGE ARTS AND READING
48,break,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
49,respond,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
50,hear,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
51,view,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
52,describe,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
53,compare,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
54,summarize,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
55,maintain,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
56,discuss,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
57,recognize,5,Grade 5,ENGLISH LANGUAGE ARTS AND READING
58,analyze,9,Grade 5,ENGLISH LANGUAGE ARTS AND READING
59,infer,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
60,rise,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
61,fall,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
62,distinguish,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
63,know,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
64,act,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
65,intend,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
66,influence,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
67,contribute,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
68,achieve,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
69,examine,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
70,stereotype,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
71,anecdote,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
72,compose,5,Grade 5,ENGLISH LANGUAGE ARTS AND READING
73,brainstorm,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
74,organize,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
75,reflect,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
76,revise,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
77,improve,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
78,add,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
79,delete,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
80,combine,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
81,rearrange,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
82,complete,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
83,verb,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
84,subordinate,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
85,form,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
86,publish,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
87,convey,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
88,request,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
89,engage,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
90,clarify,1,Grade 5,ENGLISH LANGUAGE ARTS AND READING
91,gather,2,Grade 5,ENGLISH LANGUAGE ARTS AND READING
