,Verb/Skill,Frequency,Grade,Subject
24,obtain,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
25,apply,3,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
26,become,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
27,direct,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
28,work,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
29,use,18,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
30,expect,5,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
31,meet,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
32,demonstrate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
33,encourage,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
34,enhance,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
35,need,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
36,stress,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
37,acquire,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
38,learn,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
39,reach,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
40,accommodate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
41,refer,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
42,adopt,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
43,relate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
44,hold,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
45,maximize,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
46,have,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
47,practice,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
48,contain,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
49,master,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
50,identify,3,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
51,analyze,6,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
52,influence,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
53,communicate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
54,base,4,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
55,explain,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
56,contribute,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
57,achieve,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
58,describe,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
59,load,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
60,compose,5,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
61,select,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
62,organize,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
63,reflect,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
64,revise,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
65,complete,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
66,verb,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
67,subordinate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
68,form,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
69,set,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
70,confuse,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
71,affect,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
72,publish,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
73,write,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
74,convey,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
75,control,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
76,register,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
77,request,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
78,generate,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
79,guide,2,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
80,refine,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
81,gather,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
82,examine,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
83,display,1,Grade 7,SPANISH LANGUAGE ARTS AND READING AND ENGLISH AS A SECOND LANGUAGE
